Name,Games Played,MIN,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,College,Experience,Height,Pos,Team,Playoffs,Weight
AJ Price,26,324,133,37.2,26.3,66.7,32,46,7,0,14,15,110,3.29,0.5,29,us,University of Connecticut,5,185,PG,PHO,0,81.45
Aaron Brooks,82,1885,954,42.1,38.7,83.3,166,261,54,15,157,189,791,1.66,0.34,30,us,University of Oregon,6,180,PG,CHI,1,72.45
Aaron Gordon,47,797,243,44.7,27.1,72.1,169,33,21,22,38,83,318,0.87,0.55,20,us,University of Arizona,0,202.5,PF,ORL,0,99
Adreian Payne,32,740,213,41.4,11.1,65.2,162,30,19,9,44,88,244,0.68,0.43,24,us,Michigan State University,0,205,PF,ATL,1,106.65
Al Horford,76,2318,1156,53.8,30.6,75.9,544,244,68,98,100,121,1530,2.44,0.68,29,do,University of Florida,7,205,C,ATL,1,110.25
Al Jefferson,65,1992,1082,48.1,40,65.5,548,113,47,84,68,139,1225,1.66,0.69,30,us,NULL,10,205,C,CHA,0,130.05
Alan Anderson,74,1744,545,44.3,34.8,81.2,204,83,56,5,60,148,569,1.38,0.93,33,us,Michigan State University,5,195,SG,NJN,1,99
Alec Burks,27,899,374,40.3,38.2,82.2,114,82,17,5,52,64,338,1.58,0.33,24,us,University of Colorado,3,195,SG,UTA,0,96.3
Alex Kirk,5,14,4,25,0,100,1,1,0,0,0,1,3,0,0,24,us,University of New Mexico,0,210,C,CLE,1,110.25
Alex Len,69,1518,432,50.7,33.3,70.2,454,32,34,105,74,213,778,0.43,0.46,22,ua,University of Maryland,1,212.5,C,PHO,0,117
Alexey Shved,42,767,434,39.7,33.8,80.7,99,106,30,6,48,48,396,2.21,0.63,27,ru,NULL,2,195,SG,NYK,0,85.5
Alexis Ajinca,68,957,443,55,0,81.8,315,47,21,51,69,151,642,0.68,0.3,27,fr,NULL,4,215,C,NOH,1,111.6
Al-Farouq Aminu,74,1366,412,41.2,27.4,71.2,342,59,70,62,55,137,646,1.07,1.27,25,us,Wake Forest University,4,202.5,SF,DAL,1,99
